boys_name,last_name,street_address,town,zip ,math_score,ela_score,total_score,Column1,choice_1,choice_2,choice_3,choice_4
Malcolm,Wright,157 South Fulton Avenue ,North Plateau,72350,539,499,1038,,Central Ridge Composite,Main Terrace College,East River Senior,Central Terrace Junior-Sec
Kadyn,Reeves,795 Parma Place,Northern View,72405,549,488,1037,,Southern Terrace Senior,North Bay College,Eastern Ocean Secondary,Main Terrace Senior
Carl,Ross,343 South Whittier Boulevard,West Terrace,72367,544,492,1036,,Eastern View High,Eastern Bayou Secondary,Central Bay Secondary,North Valley Junior-Sec
Ronald,Abbott,981 Blacksburg Road,Eastern Bayou,72443,542,493,1035,,Northern Bay Senior,Main Delta Composite,Eastern View High,Southern Bayou Composite
Ronald,Fields,994 Jacksonville Lane,Eastern Plateau,72440,547,487,1034,,Eastern Bayou Junior-Sec,Southern Plateau Secondary,Southern Bayou Composite,North Plateau Secondary
Chace,Richard,480 Bayonne Boulevard,East Ridge,72379,539,491,1030,,Southern Bay College,Southern Terrace Senior,Eastern Valley Junior-Sec,Eastern View Composite
Trenton,Petersen,841 Salisbury Street,Eastern Terrace,72437,531,499,1030,,Central Plateau Secondary,Western Ocean Secondary,Eastern River Secondary,North Bay High
Trenton,Mckee,368 New Britain Street,Western Valley,72426,549,480,1029,,Main Terrace Secondary,Main Plateau Composite,Eastern Terrace Secondary,Main Delta Senior
Alvin,Norton,34 Turlock Boulevard,West Plateau,72370,539,489,1028,,South Plateau Secondary,Eastern View High,Main River College,Northern Ocean Secondary
Theodore,Burton,422 Riverview Street,Southern Ridge,72419,548,478,1026,,Eastern Bayou Junior-Sec,South Plateau Secondary,South Valley Senior,North Bay High
Adam,Marquez,818 Federal Way Lane,Central Delta,72392,550,475,1025,,South River Junior-Sec,Western Plateau Secondary,Central-North View High,Western Ridge High
Dwayne,Werner,917 Dalton Court,Western Ridge,72429,549,476,1025,,North Bay High,North Bay College,North Ridge High,East Terrace Senior
Brenden,Hines,803 Skokie Place,Southern Bay,72424,541,484,1025,,Northern View Junior-Sec,South Delta Secondary,Southern Plateau Secondary,Southern Ridge Secondary
Kolby,Berger,464 Kirkland Avenue,Eastern Plateau,72440,539,485,1024,,Eastern Ocean College,East Terrace Senior,Northern River Senior,North Bay College
Lucas,Wheeler,163 Lafayette Avenue,Northern Bay,72414,524,500,1024,,Southern Ridge Secondary,South River Junior-Sec,North Bay College,Main Delta Senior
Brenden,Reeves,76 Arlington Heights Place,Central View,72385,545,478,1023,,North Ridge High,North Terrace High,Eastern Plateau Senior,South River High
Jerome,Wilson,196 Glens Falls Road,North Plateau,72350,542,481,1023,,Central Ridge Senior,South Valley Senior,Main Plateau College,South Delta Secondary
Jasper,Jackson,864 Riverview Road,Northern Ridge,72409,523,500,1023,,Northern Valley Senior,Central-North View High,Main Valley Senior,Central Ridge Composite
Arnav,Vincent,909 Inglewood Drive,Main Bayou,72403,536,486,1022,,South River High,East Valley High,South Ocean High,Eastern Bayou Secondary
Isaac,Dorsey,618 Spring Boulevard,Main Ocean,72401,534,488,1022,,Western Delta Junior-Sec,Western Ocean Secondary,East River Senior,North Bay High
Lucas,Serrano,864 Buena Park Place,Main River,72398,528,494,1022,,Southern Ridge Secondary,East Ocean Senior,Eastern Valley Junior-Sec,Central Plateau Secondary
Sam,Burch,740 Tinley Park Avenue,Eastern River,72438,539,481,1020,,Southern Ridge Secondary,Central Ridge Composite,Western Bayou High,South River High
Brenden,Baldwin,997 Palo Alto Lane,Western Delta,72432,521,499,1020,,Western Delta Junior-Sec,Southern Bay College,Main Terrace Senior,Eastern Ocean Secondary
Alvin,Maxwell,314 Westminster Drive,Central Valley,72386,545,474,1019,,East Plateau College,Southern Bay College,Northern River Senior,Northern View Junior-Sec
Hugh,Buckley,725 Fountainebleau Court,Eastern Bay,72444,522,495,1017,,Western Delta Secondary,Eastern Bayou Secondary,Northern River Senior,North-West Ocean Senior
Ronald,Newton,710 Hillsboro Lane,Main Delta,72402,536,480,1016,,Main Plateau Composite,Western Bayou High,Main Terrace Secondary,Northern Bayou High
Alden,Harper,218 Hanford Place,East View,72375,535,478,1013,,North Plateau Secondary,Eastern River Secondary,South Plateau Secondary,Western Delta Junior-Sec
Branden,Hernandez,276 Prescott Valley Court,Southern Valley,72416,523,490,1013,,South Valley Senior,North Valley Junior-Sec,Western Ocean Secondary,East Ocean Senior
Ruben,Villegas,465 Eden Prairie Avenue,West Terrace,72367,516,496,1012,,Eastern Bayou Secondary,East River Senior,North Ridge High,East Valley Senior
Kolby,Gay,815 Davie Street,Western Plateau,72430,537,474,1011,,South Plateau Secondary,West Bayou Senior,East Ocean Senior,Main Plateau Composite
Deshawn,Griffin,481 Yucaipa Place,Western Bay,72434,517,494,1011,,Main Plateau College,Eastern Ocean College,East Plateau College,Western Plateau Secondary
Derick,Humphrey,968 Battle Creek Boulevard,South View,72355,528,482,1010,,East Plateau College,Central Terrace Junior-Sec,Eastern River Secondary,Northern River Senior
Kenny,Gonzalez,529 La Habra Road,East Bay,72384,517,493,1010,,Northern View Junior-Sec,Central Terrace Secondary,South View Composite,Western Delta Secondary
Easton,Peterson,144 Winchester Street,West Bay,72374,512,498,1010,,Northern Bay College,North Bayou High,East Plateau College,Northern River Senior
Josiah,Hines,521 Cheektowaga Drive,North View,72345,545,464,1009,,Eastern Terrace Secondary,West Bayou Senior,Southern Bay College,East Bayou College
Kane,Little,763 Sanford Boulevard,Northern River,72408,510,499,1009,,South River Junior-Sec,Central-North View High,Northern Valley Senior,North Plateau Secondary
Trenton,Clarke,159 Gardena Place,Western Bay,72434,534,473,1007,,Northern Bay College,Southern Ridge Secondary,North Bay College,South Ocean High
Victor,George,738 Burbank Drive,Eastern View,72435,524,483,1007,,South Ridge High,Main Valley Senior,Eastern Ocean College,Eastern View Composite
Alvin,Wheeler,449 Redlands Drive,Main River,72398,516,491,1007,,Central Ridge Senior,North Bay College,East Ocean Secondary,Eastern Valley Junior-Sec
Kingston,Marquez,859 Des Plaines Drive,Western Plateau,72430,511,496,1007,,North Terrace High,North Valley Junior-Sec,West Ocean Senior,Northern Bay Senior
Peter,Bowen,149 Dale City Court,Central Terrace,72387,549,456,1005,,Western Plateau Secondary,East Terrace Senior,Western Ocean Secondary,Main Delta Senior
Kole,Santiago,563 Florence Avenue,Western Bay,72434,541,464,1005,,Central Terrace Junior-Sec,Western Ocean Secondary,Main River College,North Terrace High
Aditya,Green,232 Lakewood Street,Southern Bay,72424,532,473,1005,,East Valley High,Southern Terrace Senior,Northern Bay College,Main Valley Senior
Juan,Hodge,45 Twin Falls Avenue,South Ocean,72361,524,481,1005,,East River Senior,Main Bayou College,Northern Bay Senior,Main Terrace Senior
Ernest,Dixon,834 Johns Creek Place,Eastern Bayou,72443,524,480,1004,,Northern Bayou High,Eastern Plateau Junior-Sec,Western Plateau Secondary,Northern Bay College
Tony,Hale,638 Perris Lane,Eastern Terrace,72437,535,468,1003,,Main Bayou College,Main Ridge College,Central-North View High,East River Senior
Carl,Pope,991 Hattiesburg Court,Southern Plateau,72420,534,469,1003,,East Terrace Senior,Southern Terrace Senior,Northern River Senior,West Valley High
Kamari,Callahan,497 San Leandro Street,Southern Ocean,72421,522,481,1003,,West Ocean Secondary,Eastern Plateau Junior-Sec,Main River College,Central-North View High
Colt,Finley,371 Decatur Road,Central Bay,72394,535,467,1002,,North Bay High,Main Terrace Senior,West Valley High,Main Terrace Secondary
